Etat,Milieage,Tran,CarCar,CarVen,technical_details,seats,fillcareName,Price,etatCategory,Month,Year,PuissanceV2,TransmissionV2,CylindréeV2,VitessesV2,CylindresV2,HorsePower
Très bon prix,221000,Boîte manuelle,Diesel,Professionnel,7.0,5,PEUGEOT-5008,4500,3,1.0,2016.0,85,Boîte manuelle,1560,8,1565.0,116
Prix correct,65055,Boîte manuelle,Essence,Professionnel,5.0,5,MAZDA-2,3950,1,12.0,2007.0,59,Boîte manuelle,1388,5,1125.0,80
Très bon prix,148773,Boîte manuelle,Diesel,Professionnel,7.0,5,CHEVROLET-ORLANDO,3990,3,7.0,2012.0,120,Boîte manuelle,1998,1,1655.0,163
Très bon prix,207348,Boîte manuelle,Diesel,Professionnel,5.0,5,BMW-318,3990,3,3.0,2010.0,100,Boîte manuelle,1995,1,,136
Pas d'information,100326,Boîte manuelle,Essence,Professionnel,5.0,5,DACIA-SANDERO,1000,0,10.0,2012.0,55,Boîte manuelle,1149,5,1050.0,75
Très bon prix,118000,Boîte manuelle,Diesel,Professionnel,5.0,5,PEUGEOT-208,5990,3,1.0,2016.0,55,Boîte manuelle,1560,5,1140.0,75
Très bon prix,75000,Boîte manuelle,Essence,Professionnel,5.0,5,VOLKSWAGEN-POLO,6990,3,3.0,2013.0,51,Boîte manuelle,1198,5,1067.0,69
Très bon prix,128548,Boîte manuelle,Diesel,Professionnel,5.0,5,OPEL-INSIGNIA,7250,3,3.0,2016.0,100,Boîte manuelle,1598,1,1613.0,136
Pas d'information,131000,Boîte manuelle,Essence,Professionnel,5.0,5,PEUGEOT-PARTNER,1950,0,6.0,2004.0,80,Boîte manuelle,1587,8,1260.0,109
Très bon prix,19599,Boîte manuelle,Essence,Professionnel,5.0,5,CITROEN-C3,10250,3,10.0,2022.0,61,Boîte manuelle,1199,6,3980.0,83
Prix correct,189000,Boîte automatique,Diesel,Professionnel,5.0,5,MERCEDES-BENZ-B 180,2750,1,6.0,2005.0,80,Boîte automatique,1991,8,1470.0,109
Très bon prix,200240,Boîte manuelle,Diesel,Professionnel,5.0,5,OPEL-INSIGNIA,3600,3,3.0,2013.0,96,Boîte manuelle,1956,9,1610.0,131
Très bon prix,118431,Boîte manuelle,Essence,Professionnel,5.0,5,PEUGEOT-208,4950,3,4.0,2018.0,50,Boîte manuelle,1199,5,1035.0,68
Très bon prix,100063,Boîte manuelle,Diesel,Professionnel,5.0,5,SKODA-RAPID/SPACEBACK,7450,3,8.0,2015.0,77,Boîte manuelle,1598,7,1265.0,105
Très bon prix,149218,Boîte manuelle,Essence,Professionnel,5.0,5,MAZDA-2,2950,3,6.0,2007.0,55,Boîte manuelle,1242,5,1125.0,75
Très bon prix,138000,Boîte manuelle,Essence,Professionnel,5.0,5,BMW-216,9950,3,1.0,2018.0,75,Boîte manuelle,1499,7,1440.0,102
Très bon prix,118000,Boîte manuelle,Essence,Professionnel,4.0,2,PEUGEOT-308,5990,3,1.0,2011.0,88,Boîte manuelle,1598,8,1555.0,120
